Select,ID,Name,Grade Basis,Units,Program and Plan,Level,Last Enrollment DateTime
,123,some student,Graded,4,Undergraduate - Computer Engineering Intended,Sophomore,04/09/2012 12:02:29AM
,123,some student,Graded,4,Undergraduate - Computer Engineering Intended,Sophomore,04/12/2012 4:27:43PM
,123,some student,Graded,4,Undergraduate - Computer Engineering Intended,Junior,04/20/2012 10:41:51AM
,123,some student,Graded,4,Undergraduate - Computer Engineering Intended,Senior,06/08/2012 12:50:39PM
,123,some student,Graded,4,Undergraduate - Computer Engineering Intended,Junior,07/16/2012 10:14:44AM
,123,some student,Graded,4,Undergraduate - Computer Engineering Intended,Senior,08/21/2012 5:16:03PM
,123,some student,Graded,4,Undergraduate - Computer Engineering Intended,Senior,08/23/2012 12:10:17PM
